CARSTEN,,MEIER,,1949,7,22
GERD,,BAUER,,1968,7,27
ROBERT,,HARTMANN,,1930,4,30
STEFAN,,WOLFF,,1957,9,2
RALF,,KRUEGER,,1966,1,13
JUERGEN,,FRANKE,,1929,7,4
GERD,,SCHAEFER,,1967,8,1
UWE,,MEIER,,1942,9,20
DANIEL,,SCHMIDT,,1978,3,4
MICHAEL,,HAHN,,1971,2,27
PETER,,JUNG,,1988,1,9
MANFRED,,HOFFMANN,,1933,8,25
MICHAEL,,FISCHER,,1951,7,1
MANFRED,,BECKER,,1973,7,27
WALTER,,SCHNEIDER,,1953,8,26
MARTIN,,SCHROEDER,,1988,2,3
ALEXANDER,,MUELLER,,1974,9,9
HANS,,SCHAEFER,,2003,6,22
STEFAN,,MUELLER,,1949,8,13
GERHARD,,SCHAEFER,,1964,4,29
DENNIS,,SCHAEFER,,1956,4,11
THORSTEN,,KLEIN,,1966,9,20
PETER,,BRANDT,,1997,4,1
WALTER,,FISCHER,,1997,4,7
MATTHIAS,,HAAS,,1955,7,8
WOLFGANG,,WOLF,,1961,12,28
BENJAMIN,,MUELLER,,1997,4,19
JAN,JUERGEN,SCHAEFER,,1946,5,25
PETER,,WINTER,,1958,8,18
SVEN,,BRAUN,,1994,1,22
WOLFGANG,,LEHMANN,,1971,1,3
CHRISTIAN,JENS,SCHULZ,,2008,5,18
ANDREAS,FRANK,SCHUMACHER,,1928,7,7
HEINZ,,BOEHM,,1938,12,20
HARALD,,BECKER,,1951,2,24
KURT,,SCHMIDT,,1998,4,27
HARTMHUT,,HOFFMSNN,,1929,12,29
HORST,,ENGEL,,1999,2,27
DIETER,,NEUMANN,,1994,6,20
WOLFGANG,,SCHMITT,,1986,11,29
SVEN,,SCHUMACHER,,2008,2,27
DIETER,,WEISS,,1945,1,10
GERD,,BAUERH,,1968,7,27
THORSTEN,,HARTMANN,,1935,3,11
FRIEDRICH,,PETERS,,1954,10,16
HERMANN,,MAIER,,1999,10,12
HELMUT,,MUELLER,,1930,7,30
WERNER,,KOERTIG,,1965,11,28
WOLFGANG,,SEIDEL,,1974,2,5
STEFAN,,MUELLER,,1957,6,7
DIETER,,WINTER,,2000,8,20
HOLGER,,SCHNEIDER,,1931,4,2
JUERGEN,,SCHMIDT,,1956,7,23
THORSTEN,,WEBER,,1965,11,21
JENS,,SCHMIDT,,1961,1,10
PETER,GUENTHER,ZIMMERMANN,,1996,2,10
MARTIN,,HERRMANN,,1944,8,13
FRANK,,MUELLDR,,1978,5,20
BERND,,JUNG,KLEIN,1935,1,14
THORSTEN,,FUCHS,,1952,9,27
ANDRE,,FISCHER,,1943,6,25
SIEGFRIED,,BRANDT,,1982,2,14
